Trigger,ABORt,,,,,"ABORT resets the trigger system.
","This command stops waveform generation when the arbitrary waveform generator
is in gated mode. This is equivalent to releasing the Trig button on the front panel
when the instrument is in gated mode.
"
Control,AWGControl:APPLication:RUN <application_name>,,,,"<application_name>::=<string> specifies the application to be executed.
","AWGCONTROL:APPLICATION:RUN SERIALXPRESS runs the SerialXpress
application.
","This command executes the specified application.
"
Control,AWGControl:APPLication:STATe? <application_name>,,"<Boolean>
0 indicates False
1 indicates True
",,"<application_name>::=<string>
","AWGCONTROL:APPLICATION:STATE? SERIALXPRESS might return 1 indicating
that the SerialXpress application is running.
","This query returns the running state of the specified application.
"
Control,AWGControl:CLOCk:DRATe <divider_rate>,AWGControl:CLOCk:DRATe?,"<NR1>
",,"<divider_rate>::=<NR1>
At *RST, this returns the minimum value.
","AWGCONTROL:CLOCK:DRATE 8 sets the divider rate to 8.
AWGCONTROL:CLOCK:DRATE? returns 8.
","This command and query sets or returns the divider rate for the external oscillator.
Divider rate is applicable only when the reference oscillator source is external.
Only 1, 2, 4, 8?€? are valid values.
Errors for the AWG5000 series are ?€?222 and ?€?224. The ?€?222, which is out of
range, is produced when a value is greater than 32 and less than or equal to 256.
Any non-power of 2 value creates a ?€?224 error. For the AWG7000 series, there
is no out of range error and any non-power of 2 and greater than 256 produces
a ?€?224.
"
Control,AWGControl:CLOCk:PHASe[:ADJust] <NR3>,AWGControl:CLOCk:PHASe[:ADJust]?,"<NR3>
",,"<NR3>
The setting range of NR3 is ??72,000 degrees (??200 clocks), and the resolution
is 0.1 degree.
At *RST, this returns 0 degree.
","AWGCONTROL:CLOCK:PHASE:ADJUST 120 sets the clock phase adjustment
value to 120 degrees.
AWGCONTROL:CLOCK:PHASE:ADJUST? returns 1.20000000E+002, indicating
that the clock phase adjustment value is 120 degrees.
","This command and query sets or returns the clock phase adjust. It is used to
adjust the internal clock phase of the instrument to synchronize or align timing
with external devices.
When the sampling rate is below 375 MS/s, the instrument may take a few
minutes to execute the command or to set the sampling rate. Spurious in the
output signal may increase if you set the clock phase to any value other than 0
(zero) with the interleave in On state.
"
Control,AWGControl:CLOCk:SOURce <source>,AWGControl:CLOCk:SOURce?,"EXT|INT
",,"<source>::={EXTernal|INTernal}
EXTernal specifies that the clock signal from external oscillator is used.
INTernal specifies that the clock signal is generated internally.
At *RST, this value is set to INTernal.
","AWGCONTROL:CLOCK:SOURCE EXTERNAL sets the clock source to EXTernal.
AWGCONTROL:CLOCK:SOURCE? returns EXT.
","This command and query sets or returns the clock source. When the clock source
is internal, the arbitrary waveform generator?€?s internal clock is used to generate
the clock signal. If the clock source is external, the clock signal from an external
oscillator is used.
"
Control,AWGControl:COMPile <filename>,,,,"<filename>::=<string>
","AWGCONTROL:COMPILE ?€?SIN.EQU?€? compiles the equation file named ?€?sin.equ?€?.
","This command executes the commands in the specified equation file. This
command executes the WPL contents of the specified file name, returning when
the commands in the file have been executed.
"
Control,AWGControl:CONFigure:CNUMber?,,"<NR1>
1, 2, or 4 depending on the model.
",,,"AWGCONTROL:CONFIGURE:CNUMBER? might return 2.
","This query returns the number of channels available on the instrument. It returns
the count of channels even when they are disabled. However, interleaved channels
are not included in the count.
"
Control,AWGControl:DC[n][:STATe] <state>,AWGControl:DC[n][:STATe]?,"<state>
",,"<state>::= <Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
","AWGCONTROL:DC1:STATE 1 sets the DC1 output to On.
","This commands and query sets or returns the output state of one of the four DC
outputs. Use this command to turn off or turn on the DC outputs.
The value of n = 1|2|3|4
The output state is common for all DC outputs. Therefore, irrespective of the
value used for ?€?n?€? in the command, all DC outputs are switched on or switched off
at once.
"
Control,AWGControl:DC[n]:VOLTage[:LEVel][:IMMediate]:OFFSet <offset>,AWGControl:DC[n]:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<offset>::=<NR3> the value will be between ?€?3.0 V to +5.0 V.
At *RST, this returns 0 V.
","AWGCONTROL:DC1:VOLTAGE:OFFSET 1.0V sets the DC1 level to 1.0 V.
AWGCONTROL:DC1:VOLTAGE:OFFSET? might return 1.00000000E+000.
","This command and query sets or returns the DC output level.
The value of n = 1|2|3|4.
"
Control,AWGControl:DOUTput[n][:STATe] <state>,AWGControl:DOUTput[n][:STATe]?,"<state>
",,"<state>::= <Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
","AWGCONTROL:DOUTPUT1:STATE 1 causes the instrument to output raw DAC
waveform from Channel 1.
","This command enables the raw DAC waveform outputs for the specified channel.
The query form of this command returns the status of raw DAC waveform output
for the specified channel. When the state is ON, offset and filter settings for the
channel are ignored.
This command is not supported on the instruments with Option 02 or Option 06.
"
Control,AWGControl:ENHanced:SEQuence:JMODe <jump_mode>,AWGControl:ENHanced:SEQuence:JMODe?,"<jump_mode>
",,"<jump_mode>::={LOGic|TABLe|SOFTware}
LOGic or SOFTware activates Event Jump. The jump target defined in the
sequence definition will be the target of Event Jump.
TABLe activates Table Jump. The Table Jump definition is used as the jump target.
At *RST, this returns LOGic.
","AWGCONTROL:ENHANCED:SEQUENCE:JMODE TABLe sets the jump mode to
Table.
AWGCONTROL:ENHANCED:SEQUENCE:JMODE? might return TABL if the
instrument is in the Table Jump mode.
","This command and query sets or returns the jump mode.
This command is available for the AWG5012B, AWG5000C, and AWG7000C
with option 09. This command is provided for compatibility with the
AWG400/500/600/700 series instruments.
The query form will return TABL when the instrument is in the Table Jump mode,
otherwise LOG will be returned.
"
